boredapeyachtclub114,202142,134071,boredapeyachtclub,1,1
boredapeyachtclub1140,202134,152283,boredapeyachtclub,3,3
boredapeyachtclub1141,202152,285572,boredapeyachtclub,3,3
boredapeyachtclub1142,202138,141958,boredapeyachtclub,3,3
boredapeyachtclub1143,202118,3389,boredapeyachtclub,1,1
boredapeyachtclub1144,202122,2387,boredapeyachtclub,1,1
boredapeyachtclub1145,202215,327747,boredapeyachtclub,2,2
boredapeyachtclub1146,202118,12219,boredapeyachtclub,1,1
boredapeyachtclub1147,202148,266520,boredapeyachtclub,1,1
boredapeyachtclub1148,202126,7259,boredapeyachtclub,2,2
boredapeyachtclub115,202126,12581,boredapeyachtclub,3,3
boredapeyachtclub1150,202218,477601,boredapeyachtclub,3,3
boredapeyachtclub1151,202118,2107,boredapeyachtclub,1,1
boredapeyachtclub1152,202126,6465,boredapeyachtclub,3,3
boredapeyachtclub1153,202131,21320,boredapeyachtclub,1,1
boredapeyachtclub1154,202202,407046,boredapeyachtclub,5,5
boredapeyachtclub1155,202211,302574,boredapeyachtclub,1,1
boredapeyachtclub1156,202222,138742,boredapeyachtclub,11,11
boredapeyachtclub1157,202205,286341,boredapeyachtclub,2,2
boredapeyachtclub1158,202152,259706,boredapeyachtclub,2,2
boredapeyachtclub1159,202122,5413,boredapeyachtclub,1,1
boredapeyachtclub1160,202118,782,boredapeyachtclub,1,1
boredapeyachtclub1161,202208,230997,boredapeyachtclub,3,3
boredapeyachtclub1163,202219,200651,boredapeyachtclub,5,5
boredapeyachtclub1165,202129,15609,boredapeyachtclub,3,3
boredapeyachtclub1166,202211,305388,boredapeyachtclub,7,7
boredapeyachtclub1167,202118,2059,boredapeyachtclub,1,1
boredapeyachtclub1168,202118,221,boredapeyachtclub,1,1
boredapeyachtclub1169,202118,1032,boredapeyachtclub,1,1
boredapeyachtclub117,202207,278072,boredapeyachtclub,5,5
boredapeyachtclub1170,202224,106373,boredapeyachtclub,2,2
boredapeyachtclub1171,202152,222605,boredapeyachtclub,1,1
boredapeyachtclub1172,202127,6970,boredapeyachtclub,3,3
boredapeyachtclub1173,202218,333676,boredapeyachtclub,5,5
boredapeyachtclub1174,202125,20192,boredapeyachtclub,2,2
boredapeyachtclub1176,202131,43612,boredapeyachtclub,2,2
boredapeyachtclub1177,202127,8120,boredapeyachtclub,2,2
boredapeyachtclub1178,202150,234149,boredapeyachtclub,1,1
boredapeyachtclub1179,202220,200324,boredapeyachtclub,6,6
boredapeyachtclub118,202151,784910,boredapeyachtclub,1,1
boredapeyachtclub1181,202145,185639,boredapeyachtclub,2,2
boredapeyachtclub1182,202126,7324,boredapeyachtclub,2,2
boredapeyachtclub1183,202218,367539,boredapeyachtclub,6,6
boredapeyachtclub1184,202126,6475,boredapeyachtclub,3,3
boredapeyachtclub1185,202135,316389,boredapeyachtclub,1,1
